tx_coord,receiver_0,receiver_1,receiver_2,receiver_3,receiver_4,receiver_5,receiver_6,receiver_7,receiver_8,class_label,best_tile_localization,best_Localization_value
"(7, 1)",-44.0,-69.0,-82.0,,-50.0,-66.0,,-78.0,,1191,"(12, 9)",-32.98012548443138
"(7, 1)",,-70.0,-73.0,,-50.0,,,-79.0,-81.0,1191,"(8, 11)",-29.60903761394816
"(7, 1)",-44.0,,-66.0,-78.0,-47.0,-56.0,-72.0,-68.0,-64.0,1191,"(12, 9)",-13.736078429435393
"(7, 1)",-47.0,-72.0,-72.0,,-60.0,-64.0,-75.0,,-79.0,1191,"(12, 9)",-28.91107275600141
"(7, 1)",-51.0,-59.0,-68.0,-82.0,-44.0,-54.0,,-65.0,-62.0,1191,"(11, 10)",-13.447433217813202
"(7, 1)",-54.0,-61.0,-73.0,,-32.0,-64.0,-82.0,,,1191,"(12, 9)",-29.85255072713364
"(7, 1)",,-57.0,-72.0,,,-59.0,-74.0,,-78.0,1191,"(11, 29)",-30.101708592180028
"(7, 1)",,-64.0,,,-35.0,-64.0,-80.0,,-83.0,1191,"(8, 11)",-33.10273042247618
"(7, 1)",,-61.0,,,-44.0,,-71.0,,-67.0,1191,"(8, 11)",-17.244386878052712
"(7, 1)",-53.0,-64.0,,,-36.0,-61.0,-74.0,,,1191,"(12, 9)",-27.849216055926586
"(7, 1)",-55.0,-62.0,-77.0,,-40.0,-58.0,,,,1191,"(12, 9)",-25.642180746399934
"(7, 1)",-54.0,,-67.0,,-51.0,-57.0,,,-73.0,1191,"(11, 10)",-16.257929252614503
"(7, 1)",-41.0,-48.0,-65.0,-79.0,-47.0,-55.0,-71.0,-75.0,-70.0,1191,"(12, 9)",-16.316582390157357
"(7, 1)",-40.0,-57.0,-68.0,-75.0,-47.0,-63.0,-77.0,-72.0,,1191,"(12, 9)",-21.441833047380758
"(7, 1)",-40.0,-55.0,-77.0,-81.0,-53.0,-57.0,-73.0,-72.0,,1191,"(12, 9)",-23.647585360991187
"(7, 1)",-56.0,-59.0,-75.0,,-44.0,-62.0,-80.0,-78.0,-74.0,1191,"(12, 9)",-26.43000235622797
"(7, 1)",-53.0,-60.0,-65.0,,-52.0,,,-72.0,,1191,"(13, 11)",-16.593150256852024
"(7, 1)",,-55.0,-66.0,-74.0,-53.0,-56.0,-71.0,-74.0,-74.0,1191,"(11, 32)",-20.0467013844894
"(7, 1)",,-61.0,-68.0,,-52.0,,,-68.0,-63.0,1191,"(7, 78)",-13.41694300872993
"(7, 1)",,-63.0,,,-36.0,-62.0,,,,1191,"(8, 11)",-26.68413907219974
"(7, 1)",-51.0,-56.0,,,-51.0,-54.0,-67.0,,,1191,"(12, 9)",-18.01379200333643
"(7, 1)",-60.0,-63.0,-69.0,,-53.0,,-71.0,-81.0,-74.0,1191,"(11, 10)",-23.774337967404733
"(7, 1)",-58.0,-70.0,,,-35.0,-65.0,-74.0,,,1191,"(12, 9)",-31.77337366691925
"(7, 1)",-52.0,-58.0,-58.0,,,-53.0,-67.0,-65.0,-68.0,1191,"(12, 31)",-13.137916668334958
"(7, 1)",,,-62.0,,-49.0,,-68.0,-70.0,-73.0,1191,"(8, 78)",-19.896712457054953
"(7, 1)",-53.0,,-70.0,,-60.0,-60.0,,-63.0,-68.0,1191,"(13, 14)",-14.649820969874499
"(7, 1)",,,-65.0,-73.0,-43.0,-62.0,-70.0,-72.0,-79.0,1191,"(9, 74)",-20.622727253682154
"(7, 1)",-41.0,,,,-34.0,-61.0,,,,1191,"(12, 9)",-25.102443177133818
"(7, 1)",-52.0,-66.0,-75.0,,-50.0,-66.0,-83.0,-78.0,-81.0,1191,"(12, 9)",-31.84261328566896
"(7, 1)",-50.0,-68.0,,,-50.0,-67.0,,,-76.0,1191,"(12, 9)",-27.97302030016644
"(7, 1)",-43.0,-73.0,-86.0,,-53.0,-68.0,-75.0,-78.0,-79.0,1191,"(12, 9)",-34.103568227330236
"(7, 1)",-52.0,,-67.0,-83.0,-54.0,,-79.0,-74.0,-75.0,1191,"(12, 9)",-24.297414859647528
"(7, 1)",-36.0,-55.0,-73.0,-81.0,-39.0,-62.0,-75.0,-80.0,-86.0,1191,"(12, 9)",-28.45767901166395
"(7, 1)",-54.0,-66.0,-74.0,,-58.0,-60.0,-78.0,-79.0,,1191,"(12, 9)",-29.210746792428655
"(7, 1)",-51.0,,,,-52.0,-69.0,-85.0,,,1191,"(12, 9)",-41.82729794174914
"(7, 1)",-50.0,-59.0,,,-57.0,-65.0,,-73.0,-72.0,1191,"(14, 11)",-20.86766955664026
"(7, 1)",-43.0,,,,-53.0,-52.0,,,,1191,"(13, 10)",-16.43498304821229
"(7, 1)",-47.0,-68.0,,,-46.0,-62.0,-77.0,,-72.0,1191,"(12, 9)",-26.47344411290089
"(7, 1)",,-43.0,,,,,-73.0,,,1191,"(14, 32)",-35.725309208122354
"(7, 1)",-41.0,,-60.0,-76.0,,-56.0,-69.0,-68.0,-63.0,1191,"(10, 76)",-13.829426822635478
"(7, 1)",,,,,,-53.0,,,-64.0,1191,"(4, 31)",-9.404109135086538
"(7, 1)",,,,,,,-69.0,-70.0,,1191,"(5, 78)",-33.217119594950375
"(7, 1)",-45.0,-67.0,,,-49.0,-67.0,-76.0,,,1191,"(12, 9)",-32.457597196663365
"(7, 1)",,,-66.0,,,-58.0,-70.0,,-65.0,1191,"(10, 72)",-21.192866209366283
"(7, 1)",,-67.0,,-74.0,,,-71.0,-70.0,,1191,"(9, 78)",-29.29073239050174
"(7, 1)",-42.0,-53.0,-68.0,-77.0,-40.0,-54.0,-74.0,-68.0,-66.0,1191,"(12, 9)",-14.822883158363023
"(7, 1)",,-58.0,-77.0,,-33.0,-62.0,,-80.0,,1191,"(8, 11)",-27.523372815582835
"(7, 1)",,,-73.0,-87.0,,-66.0,,-83.0,,1191,"(12, 75)",-39.693959054678324
"(7, 1)",,,,,-50.0,-49.0,-67.0,,-68.0,1191,"(4, 11)",-13.040754978607634
"(7, 1)",-42.0,-63.0,-76.0,,-52.0,,-78.0,,,1191,"(12, 9)",-30.70804722199021
"(7, 1)",,,,-81.0,,,-77.0,,,1191,"(10, 85)",-43.30782694925993
"(7, 1)",-48.0,-65.0,-75.0,-80.0,-37.0,-63.0,-77.0,-80.0,,1191,"(12, 9)",-29.571697189266036
"(7, 1)",,-57.0,,,-46.0,,-80.0,,,1191,"(11, 10)",-30.34967332096511
"(7, 1)",-60.0,,,,,,,,,1191,"(22, 12)",-25.141851670638523
"(7, 1)",-52.0,,,,-46.0,,-66.0,,-67.0,1191,"(11, 10)",-11.82058970705939
"(7, 1)",-43.0,-55.0,-66.0,,-43.0,,,,-68.0,1191,"(12, 9)",-9.748643220503366
"(7, 1)",,-53.0,,,-54.0,,-69.0,-65.0,-68.0,1191,"(13, 32)",-14.445819170187324
"(7, 1)",,,,,,-53.0,,,-66.0,1191,"(4, 31)",-11.364192356282249
"(7, 1)",,,,,,-64.0,,,-79.0,1191,"(5, 31)",-30.075650888330117
"(7, 1)",-47.0,-72.0,-72.0,,,-65.0,-70.0,,-77.0,1191,"(16, 12)",-27.067711817153633
"(7, 1)",-47.0,-59.0,-63.0,,-50.0,-51.0,-69.0,-68.0,-67.0,1191,"(13, 14)",-12.883291126638527
"(7, 1)",-42.0,,,,-37.0,-65.0,,,,1191,"(12, 9)",-29.635372735909467
"(7, 1)",-61.0,,-75.0,,,-62.0,,,,1191,"(14, 15)",-26.6812828942299
"(7, 1)",-59.0,-61.0,,,-39.0,-66.0,,,,1191,"(12, 9)",-27.420310424268138
"(7, 1)",-55.0,-57.0,-62.0,-78.0,-48.0,-54.0,-74.0,-67.0,-67.0,1191,"(11, 30)",-15.67498361373684
"(7, 1)",-59.0,-63.0,-76.0,,-39.0,-59.0,-80.0,-79.0,-80.0,1191,"(12, 9)",-29.361753799479718
"(7, 1)",-47.0,-55.0,-67.0,-78.0,-48.0,-51.0,-65.0,-71.0,-65.0,1191,"(11, 30)",-13.693750239996831
"(7, 1)",-49.0,-61.0,-77.0,,-34.0,,-84.0,,,1191,"(12, 9)",-33.93350351692922
"(7, 1)",-42.0,-51.0,-71.0,-79.0,-50.0,-62.0,-73.0,-76.0,-67.0,1191,"(12, 9)",-19.456856455346117
"(7, 1)",-51.0,-51.0,,,-45.0,-59.0,-66.0,-66.0,-62.0,1191,"(13, 14)",-10.991039373819445
"(7, 1)",-44.0,-49.0,-70.0,,-39.0,-55.0,-73.0,-70.0,-68.0,1191,"(12, 9)",-14.8817467988846
"(7, 1)",-65.0,-63.0,,,-52.0,-59.0,,-73.0,,1191,"(8, 11)",-24.69669784010245
"(7, 1)",,-68.0,,,-45.0,-60.0,-76.0,,,1191,"(8, 11)",-30.740403594511363
"(7, 1)",-46.0,-67.0,,,-60.0,-62.0,,,,1191,"(12, 9)",-28.77361728198149
"(7, 1)",,-49.0,,,-45.0,-56.0,,-67.0,-62.0,1191,"(13, 14)",-8.128202373126864
"(7, 1)",-47.0,-59.0,-82.0,-80.0,-45.0,-58.0,-72.0,-68.0,-73.0,1191,"(12, 9)",-22.703457594399797
"(7, 1)",-52.0,,,,-48.0,,-65.0,-62.0,,1191,"(12, 10)",-10.718943855442003
"(7, 1)",,,,,,,,,-75.0,1191,"(10, 109)",-41.00636816913243
"(7, 1)",-44.0,,-76.0,,,,,-82.0,-72.0,1191,"(16, 12)",-25.71202522516324
"(7, 1)",-61.0,-60.0,-69.0,,-63.0,-63.0,-72.0,,-73.0,1191,"(11, 30)",-23.612516195489025
"(7, 1)",-36.0,-49.0,,,-43.0,-69.0,-74.0,-70.0,-81.0,1191,"(12, 9)",-23.346950387475964
"(7, 1)",,,-65.0,-79.0,,,-70.0,-70.0,-69.0,1191,"(13, 92)",-34.17630913867915
"(7, 1)",-56.0,-69.0,-68.0,,-52.0,-62.0,-73.0,-74.0,-71.0,1191,"(11, 10)",-22.004107424558786
"(7, 1)",,-67.0,,,-47.0,,-78.0,,-80.0,1191,"(8, 11)",-32.48094805850053
"(7, 1)",-54.0,-63.0,,,-54.0,-57.0,-75.0,,,1191,"(12, 9)",-26.503705595592184
"(7, 1)",,-57.0,,,-47.0,,-77.0,-71.0,,1191,"(8, 11)",-23.460780274890013
"(7, 1)",-43.0,-51.0,-69.0,-75.0,-41.0,,-70.0,-74.0,-79.0,1191,"(12, 9)",-18.929730051590045
"(7, 1)",,,,,-47.0,,-73.0,-76.0,,1191,"(5, 11)",-27.23885141012878
"(7, 1)",,,-66.0,,-63.0,,,-77.0,-74.0,1191,"(6, 84)",-27.48427535736146
"(7, 1)",,-66.0,-67.0,,-45.0,-64.0,-75.0,-81.0,-77.0,1191,"(8, 11)",-26.719419227627043
"(7, 1)",-46.0,-53.0,-61.0,-75.0,-44.0,-61.0,-63.0,-73.0,-70.0,1191,"(12, 9)",-13.391683813459528
"(7, 1)",-43.0,-49.0,-70.0,-78.0,,,-71.0,-74.0,-68.0,1191,"(17, 33)",-18.286968723441024
"(7, 1)",-48.0,-61.0,-65.0,,-50.0,,-71.0,,-63.0,1191,"(14, 12)",-13.268532075227844
"(7, 1)",,-69.0,-83.0,,-47.0,,-78.0,-83.0,-84.0,1191,"(8, 11)",-37.58408070597023
"(7, 1)",-50.0,-66.0,,,-49.0,-62.0,-75.0,,,1191,"(12, 9)",-29.59901679078243
"(7, 1)",-50.0,-68.0,,,-37.0,-64.0,,-72.0,-87.0,1191,"(12, 9)",-29.873146323810204
"(7, 1)",-63.0,-64.0,-71.0,,-62.0,-60.0,-76.0,,-78.0,1191,"(12, 16)",-27.175965879222417
"(7, 1)",-54.0,-55.0,-65.0,-75.0,-46.0,-55.0,-70.0,,-68.0,1191,"(11, 10)",-15.306144889029449
"(7, 1)",,-46.0,,,-45.0,,-69.0,,,1191,"(14, 15)",-14.648929078662418
"(7, 1)",-49.0,-66.0,-71.0,,-46.0,-72.0,-78.0,-75.0,,1191,"(12, 9)",-29.239560699885555
"(7, 1)",,-65.0,,,-35.0,-63.0,-83.0,,,1191,"(8, 11)",-34.46225082250941
"(7, 1)",-46.0,-58.0,-63.0,-80.0,,-54.0,-75.0,-66.0,-71.0,1191,"(12, 31)",-17.93108461558801
"(7, 1)",-48.0,,-75.0,,-46.0,,,-79.0,-81.0,1191,"(12, 9)",-28.687252184444365
"(7, 1)",,,,,-33.0,,-82.0,,-82.0,1191,"(5, 11)",-38.56528310808244
"(7, 1)",,-50.0,-56.0,,-50.0,-52.0,-65.0,-72.0,-64.0,1191,"(11, 30)",-11.166724000199403
"(7, 1)",-53.0,,-77.0,,-37.0,,-83.0,-84.0,-84.0,1191,"(12, 9)",-37.96281762079494
"(7, 1)",-41.0,,-71.0,,-45.0,-60.0,-79.0,-67.0,,1191,"(12, 9)",-22.1293256573346
"(7, 1)",,-49.0,,,,,,,-80.0,1191,"(17, 33)",-32.2294449094173
"(7, 1)",,,,,,,-79.0,-79.0,,1191,"(5, 79)",-45.652337084976686
"(7, 1)",-49.0,-61.0,-81.0,,-64.0,,-83.0,,-81.0,1191,"(12, 9)",-34.33998727200621
"(7, 1)",-44.0,,-73.0,,-49.0,-69.0,-78.0,,-74.0,1191,"(12, 9)",-27.39517873295448
"(7, 1)",-60.0,-58.0,-74.0,,-51.0,-59.0,-78.0,,-77.0,1191,"(11, 10)",-25.53077332152934
"(7, 1)",-35.0,,-65.0,,-45.0,-62.0,,-71.0,-80.0,1191,"(12, 9)",-18.96153668129722
"(7, 1)",-55.0,-63.0,-70.0,,,-65.0,-82.0,,-84.0,1191,"(16, 12)",-31.29405222792017
"(7, 1)",-52.0,,-77.0,,-40.0,,-78.0,-81.0,-77.0,1191,"(12, 9)",-30.76719779089784
"(7, 1)",,-64.0,,,-55.0,-60.0,-70.0,,,1191,"(8, 11)",-25.747654374867682
"(7, 1)",-50.0,-60.0,-58.0,,-48.0,-55.0,-71.0,,-62.0,1191,"(13, 14)",-11.894810321394692
"(7, 1)",-56.0,,,-78.0,-43.0,-57.0,-69.0,-66.0,-66.0,1191,"(8, 11)",-15.390423652630863
"(7, 1)",-64.0,-70.0,-71.0,,-52.0,-69.0,,,-81.0,1191,"(11, 10)",-29.462143323876166
"(7, 1)",-50.0,,,,-53.0,,-76.0,-76.0,-79.0,1191,"(12, 9)",-28.009514704578077
"(7, 1)",,-61.0,,,-32.0,-66.0,-77.0,,,1191,"(8, 11)",-30.486318913712324
"(7, 1)",-49.0,,,,-55.0,-66.0,-73.0,,,1191,"(12, 9)",-29.90951701637119
"(7, 1)",-44.0,-58.0,-69.0,-75.0,-48.0,,-67.0,-64.0,-64.0,1191,"(16, 12)",-11.717992728311321
"(7, 1)",-42.0,-51.0,,,-44.0,-52.0,-76.0,-71.0,-81.0,1191,"(12, 9)",-21.04978528183097
"(7, 1)",,-54.0,,,-52.0,-59.0,-76.0,,,1191,"(8, 11)",-24.704357741235835
"(7, 1)",,,-70.0,-79.0,,-53.0,,,-62.0,1191,"(10, 101)",-21.147904881727705
"(7, 1)",,,-61.0,,,-54.0,-65.0,,-68.0,1191,"(11, 71)",-17.9526288817123
"(7, 1)",-53.0,-68.0,,,-48.0,-63.0,,,,1191,"(12, 9)",-29.94352874967864
"(7, 1)",-64.0,,,,-43.0,,,,,1191,"(9, 5)",-29.1453376569479
"(7, 1)",,-65.0,,,-35.0,,-78.0,,-83.0,1191,"(8, 11)",-33.71379231853607
"(7, 1)",,-67.0,,,-36.0,-65.0,,,-86.0,1191,"(8, 11)",-33.90592718136853
"(7, 1)",-37.0,-49.0,-67.0,-77.0,-46.0,-64.0,-77.0,,,1191,"(12, 9)",-21.206794253414824
"(7, 1)",-44.0,-58.0,-62.0,-77.0,-44.0,,,-73.0,-71.0,1191,"(12, 9)",-14.143382122563281
"(7, 1)",,-66.0,,,-50.0,-64.0,,-72.0,,1191,"(8, 11)",-25.326307787864966
"(7, 1)",-52.0,-71.0,,,-45.0,-49.0,,-65.0,,1191,"(11, 10)",-17.085967393941903
"(7, 1)",-52.0,-65.0,-74.0,-82.0,-35.0,-63.0,-84.0,-82.0,-83.0,1191,"(12, 9)",-32.77489876854116
"(7, 1)",-51.0,-66.0,,,-63.0,,-75.0,,-73.0,1191,"(14, 11)",-26.300610000776103
"(7, 1)",-69.0,,-73.0,,-49.0,-67.0,-80.0,,,1191,"(8, 11)",-32.67898847948635
"(7, 1)",-43.0,,,-73.0,-45.0,-60.0,,-72.0,,1191,"(12, 9)",-17.634823567018703
"(7, 1)",-51.0,-71.0,-69.0,,-52.0,-64.0,-73.0,-83.0,-70.0,1191,"(12, 9)",-25.62554417970578
"(7, 1)",-67.0,,,,,,-74.0,,,1191,"(15, 19)",-32.26415174225075
"(7, 1)",-66.0,-61.0,-65.0,,-47.0,,,,-66.0,1191,"(11, 10)",-15.593301735707646
"(7, 1)",-52.0,,-74.0,,-47.0,-67.0,-85.0,-83.0,-88.0,1191,"(12, 9)",-37.56115445650241
"(7, 1)",-54.0,-62.0,-67.0,,-60.0,-67.0,-79.0,,-78.0,1191,"(16, 12)",-26.412422105180557
"(7, 1)",-51.0,-67.0,-79.0,,-52.0,-61.0,,,-80.0,1191,"(12, 9)",-29.455751887841984
"(7, 1)",-53.0,-65.0,-66.0,,-52.0,,-75.0,,-76.0,1191,"(12, 9)",-22.55281351887797
"(7, 1)",-40.0,-55.0,-71.0,-75.0,-56.0,-62.0,-74.0,-71.0,-81.0,1191,"(16, 12)",-22.27085333719873
"(7, 1)",,,,-79.0,,,,-68.0,,1191,"(7, 109)",-45.73980923377014
"(7, 1)",-62.0,,-73.0,,-56.0,,-80.0,,-79.0,1191,"(12, 9)",-29.69842432029974
"(7, 1)",-42.0,-42.0,-64.0,,-48.0,,-70.0,,-76.0,1191,"(16, 14)",-13.380292101467143
"(7, 1)",-55.0,-53.0,,,-45.0,-50.0,-73.0,,,1191,"(11, 10)",-19.362587635592604
"(7, 1)",-58.0,-67.0,-78.0,,-50.0,-64.0,-78.0,-76.0,-70.0,1191,"(12, 9)",-26.76110655394143
"(7, 1)",-44.0,,,,,-64.0,,,-75.0,1191,"(14, 11)",-23.245510054778677
"(7, 1)",-53.0,-63.0,-68.0,,-53.0,-60.0,-79.0,,-69.0,1191,"(12, 9)",-21.58696758173097
"(7, 1)",-58.0,-64.0,-68.0,,-63.0,,-79.0,,-75.0,1191,"(16, 12)",-25.57892139872219
"(7, 1)",,-63.0,-74.0,,-46.0,,-81.0,,-85.0,1191,"(8, 11)",-33.144268127199254
"(7, 1)",-53.0,-66.0,,,-56.0,-62.0,,,,1191,"(12, 9)",-28.170322009131297
"(7, 1)",-42.0,-53.0,-70.0,,-50.0,-57.0,-77.0,,-83.0,1191,"(12, 9)",-24.316353032296597
"(7, 1)",-40.0,-66.0,-78.0,-86.0,-37.0,-69.0,-74.0,,-87.0,1191,"(12, 9)",-34.73682411877154
"(7, 1)",-62.0,-62.0,-72.0,,-50.0,,-75.0,-71.0,-74.0,1191,"(11, 10)",-22.723587376367046
"(7, 1)",-52.0,-59.0,,,-49.0,,,,-73.0,1191,"(12, 9)",-17.495889373903033
"(7, 1)",-43.0,-52.0,-69.0,,-44.0,-59.0,-69.0,,-77.0,1191,"(12, 9)",-18.962770503964407
"(7, 1)",-46.0,-49.0,-67.0,,-41.0,-54.0,-71.0,-70.0,-65.0,1191,"(11, 10)",-12.24321235861442
"(7, 1)",-45.0,-56.0,-66.0,,-41.0,-59.0,-69.0,-72.0,-81.0,1191,"(12, 9)",-19.768491222125938
"(7, 1)",-51.0,-64.0,,,-51.0,,-75.0,-73.0,,1191,"(12, 9)",-26.157413169053836
"(7, 1)",,-63.0,-71.0,,,,-68.0,-74.0,-63.0,1191,"(7, 76)",-26.274264117300834
"(7, 1)",,,,,,,-79.0,-76.0,,1191,"(6, 90)",-43.84662622369044
"(7, 1)",-47.0,-64.0,-73.0,,-57.0,-62.0,-81.0,,-81.0,1191,"(12, 9)",-29.767295552392433
"(7, 1)",-57.0,-59.0,-69.0,,-51.0,-64.0,-73.0,-71.0,-70.0,1191,"(11, 10)",-19.890953820911847
"(7, 1)",,-56.0,-73.0,,-42.0,-63.0,-76.0,-73.0,-78.0,1191,"(8, 11)",-24.400306478643543
"(7, 1)",-55.0,-65.0,-81.0,,-54.0,-66.0,,-82.0,-85.0,1191,"(12, 9)",-34.21197027461742
"(7, 1)",-59.0,-66.0,-75.0,,-44.0,,,,-83.0,1191,"(12, 9)",-30.064544337701065
"(7, 1)",,-71.0,,,-38.0,-67.0,-80.0,,,1191,"(8, 11)",-36.57712219838399
"(7, 1)",-57.0,-67.0,-73.0,,-63.0,-66.0,,-77.0,-72.0,1191,"(16, 12)",-25.31822497678189
"(7, 1)",,-64.0,-72.0,,,-64.0,-74.0,,,1191,"(11, 29)",-31.33851048818612
"(7, 1)",,-71.0,,,-34.0,-66.0,,,,1191,"(11, 10)",-33.60966908566028
"(7, 1)",-54.0,-62.0,-68.0,,-47.0,,,,-73.0,1191,"(11, 10)",-17.781715295549045
"(7, 1)",-56.0,-50.0,-57.0,,-44.0,-45.0,-73.0,-66.0,-66.0,1191,"(12, 16)",-10.112151270077636
