location,corners,center,sensor_distances,calculated_RSSI,avg_RSSI,mode_RSSI,best_RSSI,is_emitter,score,hasSensor,localizationGuesses
"(0, 10)","((26.71333451697524, -80.05685463483826), (26.71333451697524, -80.05684456705546), (26.7133435101913, -80.05685463483826), (26.7133435101913, -80.05684456705546))","(26.713339013583273, -80.05684960094686)","{'57': 20.170762020115472, '20': 23.2589580815642, '05': 75.20251655334297, '34': 117.28788263189931, '22': 11.024872057037488, '06': 12.701119371914151, '31': 49.44709635030975, '36': 89.88792396470689, '35': 112.2948611847954}","{'57': -43.9935099458341, '20': -45.84954846047949, '05': -61.138811998847814, '34': -66.92943516544258, '22': -36.123047527238775, '06': -37.9671007142877, '31': -55.67606459767203, '36': -63.462881285676964, '35': -66.36263725953069}","{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",-99,-99,False,"{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",[],{}
"(0, 11)","((26.71333451697524, -80.05684456705546), (26.71333451697524, -80.05683449927267), (26.7133435101913, -80.05684456705546), (26.7133435101913, -80.05683449927267))","(26.713339013583273, -80.05683953316407)","{'57': 20.56442098851931, '20': 22.692470439691583, '05': 74.22739952183352, '34': 116.29577961547919, '22': 11.839568325811673, '06': 11.826790061519155, '31': 48.45255809036133, '36': 88.88696387828831, '35': 111.29344873998114}","{'57': -44.24533536187123, '20': -45.52829413253319, '05': -60.96876815417613, '34': -66.8187594138219, '22': -37.05191682606915, '06': -37.03784741128467, '31': -55.41134210816474, '36': -63.31698294726142, '35': -66.2459287946374}","{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",-99,-99,False,"{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",[],{}
"(0, 12)","((26.71333451697524, -80.05683449927267), (26.71333451697524, -80.05682443148987), (26.7133435101913, -80.05683449927267), (26.7133435101913, -80.05682443148987))","(26.713339013583273, -80.05682946538127)","{'57': 20.99853271898382, '20': 22.15681596744508, '05': 73.25300252379394, '34': 115.30384423994317, '22': 12.681094193846981, '06': 10.974274035403885, '31': 47.458325203973125, '36': 87.88602288318157, '35': 110.29204329600805}","{'57': -44.517509259703395, '20': -45.21706129599872, '05': -60.796603693871305, '34': -66.70715438951592, '22': -37.94654263463345, '06': -36.06311480008639, '31': -55.14121302024271, '36': -63.169435133073954, '35': -66.1281662601013}","{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",-99,-99,False,"{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",[],{}
"(0, 13)","((26.71333451697524, -80.05682443148987), (26.71333451697524, -80.05681436370708), (26.7133435101913, -80.05682443148987), (26.7133435101913, -80.05681436370708))","(26.713339013583273, -80.05681939759847)","{'57': 21.470643625148018, '20': 21.654282913983298, '05': 72.27935468723152, '34': 114.31208086831326, '22': 13.544449757637402, '06': 10.149069694545016, '31': 46.46441729349226, '36': 86.88510163987799, '35': 109.29064504540898}","{'57': -44.807192685096375, '20': -44.918154977584365, '05': -60.622268776255346, '34': -66.59460469473468, '22': -38.804681777289154, '06': -35.04462782666495, '31': -54.86545563303083, '36': -63.02020018596914, '35': -66.00933045767655}","{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",-99,-99,False,"{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",[],{}
"(0, 14)","((26.71333451697524, -80.05681436370708), (26.71333451697524, -80.05680429592428), (26.7133435101913, -80.05681436370708), (26.7133435101913, -80.05680429592428))","(26.713339013583273, -80.05680932981568)","{'57': 21.978305088204873, '20': 21.187228198743114, '05': 71.30648669772039, '34': 113.32049401827243, '22': 14.425716135281801, '06': 9.35840468875196, '31': 45.470855669257354, '36': 85.88420083844196, '35': 108.28925418760258}","{'57': -45.11166671129845, '20': -44.6340651075187, '05': -60.44571195377501, '34': -66.48109455548938, '22': -39.62596224181339, '06': -33.98789542927946, '31': -54.583834585681274, '36': -62.8692391465329, '35': -65.88940166019884}","{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",-99,-99,False,"{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",[],{}
"(0, 15)","((26.71333451697524, -80.05680429592428), (26.71333451697524, -80.05679422814148), (26.7133435101913, -80.05680429592428), (26.7133435101913, -80.05679422814148))","(26.713339013583273, -80.05679926203288)","{'57': 22.519112926770845, '20': 20.758046742103623, '05': 70.33443091386715, '34': 112.3290883632265, '22': 15.321803100850179, '06': 8.611797639459226, '31': 44.47766353815796, '36': 84.8833212022183, '35': 107.28787092981999}","{'57': -45.42837914443631, '20': -44.36743534727011, '05': -60.2668801170518, '34': -66.36660780894059, '22': -40.411137089763066, '06': -32.90465526679003, '31': -54.29609973681202, '36': -62.71651169274611, '35': -65.76835959206548}","{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",-99,-99,False,"{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",[],{}
"(0, 16)","((26.71333451697524, -80.05679422814148), (26.71333451697524, -80.05678416035869), (26.7133435101913, -80.05679422814148), (26.7133435101913, -80.05678416035869))","(26.713339013583273, -80.05678919425009)","{'57': 23.090738297151503, '20': 20.36913267418618, '05': 69.36322148348445, '34': 111.33786874430673, '22': 16.230256067634382, '06': 7.921715497315017, '31': 43.48486621726649, '36': 83.88246348871542, '35': 106.2864954867077}","{'57': -45.754975355666076, '20': -44.12101688982323, '05': -60.085718436144916, '34': -66.25112789148648, '22': -41.16160193563337, '06': -31.816418010268524, '31': -54.00198492969877, '36': -62.56197607564746, '35': -65.6461834086399}","{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",-99,-99,False,"{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",[],{}
"(0, 17)","((26.71333451697524, -80.05678416035869), (26.71333451697524, -80.05677409257589), (26.7133435101913, -80.05678416035869), (26.7133435101913, -80.05677409257589))","(26.713339013583273, -80.05677912646729)","{'57': 23.690950566010436, '20': 20.022832536538452, '05': 68.3928944632959, '34': 110.34684017460974, '22': 17.149109925861374, '06': 7.304196867047532, '31': 42.492491379426035, '36': 82.88162849216472, '35': 105.28512808125434}","{'57': -46.08931537678366, '20': -43.89760623398674, '05': -59.90217029939983, '34': -66.1346378254348, '22': -41.8790883065474, '06': -30.75901488238414, '31': -53.70120663032497, '36': -62.405589051410715, '35': -65.52285167484636}","{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",-99,-99,False,"{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",[],{}
"(0, 18)","((26.71333451697524, -80.05677409257589), (26.71333451697524, -80.0567640247931), (26.7133435101913, -80.05677409257589), (26.7133435101913, -80.0567640247931))","(26.713339013583273, -80.0567690586845)","{'57': 24.317633066127684, '20': 19.721391310745634, '05': 67.42348794852546, '34': 109.3560078483774, '22': 18.076778695256095, '06': 6.779100598733722, '31': 41.5005693329123, '36': 81.8808170456401, '35': 104.28376894509974}","{'57': -46.429479811412136, '20': -43.699967293766036, '05': -59.71617725098738, '34': -66.01712020568893, '22': -42.56547201729449, '06': -29.787003141614576, '31': -53.39346242195055, '36': -62.24730580924246, '35': -65.39834234266642}","{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",-99,-99,False,"{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",[],{}
"(0, 19)","((26.71333451697524, -80.0567640247931), (26.71333451697524, -80.0567539570103), (26.7133435101913, -80.0567640247931), (26.7133435101913, -80.0567539570103))","(26.713339013583273, -80.0567589909017)","{'57': 24.96879277759284, '20': 19.466893003162426, '05': 66.45504222756178, '34': 108.36537714805806, '22': 19.01197207641999, '06': 6.369326146587393, '31': 40.509133339939304, '36': 80.88003002352897, '35': 103.28241831862324}","{'57': -46.7737671323806, '20': -43.53074003651641, '05': -59.52767893010883, '34': -65.89855718560679, '22': -43.22265581375727, '06': -28.97464541683092, '31': -53.078429338128785, '36': -62.087079894919555, '35': -65.27263272752423}","{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",-99,-99,False,"{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",[],{}
"(0, 20)","((26.71333451697524, -80.0567539570103), (26.71333451697524, -80.0567438892275), (26.7133435101913, -80.0567539570103), (26.7133435101913, -80.0567438892275))","(26.713339013583273, -80.0567489231189)","{'57': 25.64256506512862, '20': 19.26119847573788, '05': 65.48759992002235, '34': 107.3749536552551, '22': 19.95363209944599, '06': 6.098165609241003, '31': 39.51821998124518, '36': 79.87926834356323, '35': 102.28107645182628}","{'57': -47.12068476588293, '20': -43.392339973687605, '05': -59.33661300388848, '34': -65.7789304627153, '22': -43.852499596969885, '06': -28.407817213631358, '31': -52.75576201402297, '36': -61.92486312951381, '35': -65.14569948362376}","{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",-99,-99,False,"{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",[],{}
"(0, 21)","((26.71333451697524, -80.0567438892275), (26.71333451697524, -80.05673382144471), (26.7133435101913, -80.0567438892275), (26.7133435101913, -80.05673382144471))","(26.713339013583273, -80.0567388553361)","{'57': 26.33721452803002, '20': 19.105884062152036, '05': 64.52120616778542, '34': 106.38474315566852, '22': 20.90088474649969, '06': 5.984490758546596, '31': 38.52786958405994, '36': 78.87853296999653, '35': 101.27974360446522}","{'57': -47.46893601926606, '20': -43.286854922272596, '05': -59.14291510749144, '34': -65.65822126306648, '22': -44.45678089406621, '06': -28.162656800892222, '31': -52.425090636013344, '36': -61.76060552320184, '35': -65.01751857797953}","{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",-99,-99,False,"{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",[],{}
"(0, 22)","((26.71333451697524, -80.05673382144471), (26.71333451697524, -80.05672375366191), (26.7133435101913, -80.05673382144471), (26.7133435101913, -80.05672375366191))","(26.713339013583273, -80.05672878755331)","{'57': 27.051132890320666, '20': 19.002185148327982, '05': 63.555908795657686, '34': 105.39475165392619, '22': 21.85300276655429, '06': 6.037204077542982, '31': 37.53812670409982, '36': 77.8778249178424, '35': 100.27842004684533}","{'57': -47.8174045179207, '20': -43.21594714108999, '05': -58.94651877531629, '34': -65.53641032611986, '22': -45.03717440280655, '06': -28.276916481900223, '31': -52.08601865716757, '36': -61.594255183773875, '35': -64.88806526324457}","{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",-99,-99,False,"{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",[],{}
"(0, 23)","((26.71333451697524, -80.05672375366191), (26.71333451697524, -80.05671368587912), (26.7133435101913, -80.05672375366191), (26.7133435101913, -80.05671368587912))","(26.713339013583273, -80.05671871977052)","{'57': 27.78283476804653, '20': 18.950949067257447, '05': 62.59175853312271, '34': 104.40498537923342, '22': 22.809376889902524, '06': 6.252098376031795, '31': 36.549040696901024, '36': 76.8771452534916, '35': 99.27710606004175}","{'57': -48.16513746289594, '20': -43.180769713042494, '05': -58.74735538151075, '34': -65.41347788781385, '22': -45.59524342042757, '06': -28.732614870191632, '31': -51.738120256321764, '36': -61.42575821864042, '35': -64.75731404910292}","{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",-99,-99,False,"{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",[],{}
"(0, 24)","((26.71333451697524, -80.05671368587912), (26.71333451697524, -80.05670361809632), (26.7133435101913, -80.05671368587912), (26.7133435101913, -80.05670361809632))","(26.713339013583273, -80.05670865198772)","{'57': 28.53095197289656, '20': 18.952601306428686, '05': 61.628809217735295, '34': 103.41545079808634, '22': 23.769493385218702, '06': 6.613382851319594, '31': 35.56066637248133, '36': 75.87649510000918, '35': 98.27580193660565}","{'57': -48.511328662223455, '20': -43.18190558292523, '05': -58.545354074227824, '34': -65.28940366376148, '22': -46.132438543710286, '06': -29.464550728262168, '31': -51.38093749997277, '36': -61.25505863124507, '35': -64.62523867227853}","{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",-99,-99,False,"{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",[],{}
"(0, 25)","((26.71333451697524, -80.05670361809632), (26.71333451697524, -80.05669355031353), (26.7133435101913, -80.05670361809632), (26.7133435101913, -80.05669355031353))","(26.713339013583273, -80.05669858420492)","{'57': 29.29422688470032, '20': 19.007128071968083, '05': 60.667118035589084, '34': 102.42615462662795, '22': 24.73291642703136, '06': 7.098741364285736, '31': 34.573064768652934, '36': 74.87587564084176, '35': 97.27450798105002}","{'57': -48.855302006809765, '20': -43.21933581237856, '05': -58.34044171503446, '34': -65.164166831644, '22': -46.650100681233816, '06': -30.387281381991055, '31': -51.013977174305175, '36': -61.08209821035975, '35': -64.49181206498233}","{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",-99,-99,False,"{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",[],{}
"(0, 26)","((26.71333451697524, -80.05669355031353), (26.71333451697524, -80.05668348253073), (26.7133435101913, -80.05669355031353), (26.7133435101913, -80.05668348253073))","(26.713339013583273, -80.05668851642213)","{'57': 30.07150532637674, '20': 19.1140768631566, '05': 59.70674578085012, '34': 101.43710383983155, '22': 25.69927414648404, '06': 7.68470056622332, '31': 33.586304050037825, '36': 73.87528812299553, '35': 96.27322451064381}","{'57': -49.19649584074032, '20': -43.292440623936294, '05': -58.13254282034364, '34': -65.03774601239724, '22': -47.14946649809231, '06': -31.420649278401648, '31': -50.63670723831514, '36': -60.90681641187381, '35': -64.3570063217714}","{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",-99,-99,False,"{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",[],{}
"(0, 27)","((26.71333451697524, -80.05668348253073), (26.71333451697524, -80.05667341474793), (26.7133435101913, -80.05668348253073), (26.7133435101913, -80.05667341474793))","(26.713339013583273, -80.05667844863933)","{'57': 30.861729246804035, '20': 19.272574988791852, '05': 58.747757136833684, '34': 100.44830568633024, '22': 26.668247520746174, '06': 8.350108634625423, '31': 32.60046057410595, '36': 72.87473386224508, '35': 95.27195185598556}","{'57': -49.534448485917075, '20': -43.400033106036666, '05': -57.921579505885, '34': -64.91011925126139, '22': -47.631675101992336, '06': -32.5026045512859, '31': -50.248552853621185, '36': -60.72915023292193, '35': -64.22079266464951}","{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",-99,-99,False,"{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",[],{}
"(0, 28)","((26.71333451697524, -80.05667341474793), (26.71333451697524, -80.05666334696514), (26.7133435101913, -80.05667341474793), (26.7133435101913, -80.05666334696514))","(26.713339013583273, -80.05666838085654)","{'57': 31.663929433336964, '20': 19.481364289854042, '05': 57.79022098285549, '34': 99.45976770006989, '22': 27.639561456637605, '06': 9.07751084995218, '31': 31.61562014365497, '36': 71.87421424754694, '35': 94.27069036179871}","{'57': -49.868785050652775, '20': -43.54042180512259, '05': -57.70747143577108, '34': -64.78126399754186, '22': -48.097775221568206, '06': -33.590844081342034, '31': -49.84889192990546, '36': -60.549034077211346, '35': -64.08314140635812}","{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",-99,-99,False,"{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",[],{}
